Question	Answer
非布司他分开早晚可以额外降尿酸吗？	是的，分开吃，也就是例如;40mg 切开成早晚各 20mg。能额外降尿酸。已经有大量风友风友验证可以额外降 15%尿酸，笔者单次 10mg只能降到 400 尿酸，分开早晚 5+5mg 可以控制 300。晚上那次建议晚饭后，不推荐长期晚上睡觉前服用，可能不利于抑制后的黄嘌呤排出。如果分开早晚服用没额外降尿酸和非布司他品牌有关系，如笔者用菲布力分开早晚不额外降，其他都可以。笔者咨询医生和药学专家分开早晚可行，但这属于经验，还没临床试验循证医学证据。另外苯溴马隆不可以分开早晚。
吃了非布司他胸闷，肋骨或者心脏附近刺痛感，是什么原因？	这个非常常见的，可能是心脏附近溶晶导致，比较典型就是瞬间刺痛，过段时间就不会了。但胸闷不是溶晶导致唯一原因，如果有别的不舒服或者绞痛等要去检查。11. 非布司他包装写着“不推荐无症状高尿酸治疗”，为啥医生
还是开给我这无症状高尿酸血症患者？	这是因为非布司他在无症状高尿酸血症应用证据太少（2019 中国痛风指南最后处），非布司他临床试验时，没有做无症状高尿酸临床试验，2019 中国痛风指南无症状高尿酸推荐是服用别嘌醇或者苯溴马隆，可能是非布司他在无症状高尿酸应用更加容易“溶晶痛”，但降尿酸只有那三种，没那么多选择，非布司他也可以。
我有脂肪肝，可以吃非布司他吗？	这个看血清肝功能报告，谷丙转氨酶，谷草转氨酶，不超过三倍。总胆红素不超过两倍可以，另外脂肪肝 95%痛风患者都有，脂肪肝必须逆转。三、苯溴马隆适用于原发性和继发性高尿酸血症，尤其是尿酸排泄障碍所致的高尿酸血症患者。其代表药物是苯溴马隆（立加利仙），由于该药半衰期较长，故每天只需服 1 次，早餐后服用。使用时也须从小剂量（25mg/天）开始。 注意：1) 该药的主要不良反应是增加肾脏尿酸盐结石形成风险，偶有胃肠道反应、皮疹等，罕见（1/10000）肝功能损害。有肾结石或者有严重肾功能损害者（肾小球滤过率低于 20ml/min）禁用。2) 用药期间患者一定要大量饮水（每天 2000ml 以上）以增加尿量，同时保持全天尿液 ph6.2-6.8，以防止尿酸盐在肾脏沉积形成尿路结石。苯溴马隆原创研发是法国的 Labaz 公司，现属赛诺菲-安万特公司。日本鸟居制药引入技术后进行开发，目前苯溴马隆的德国立加利仙，国产尤诺/华神/尔同舒等仿制药是参照仿制药鸟居药品株式会社标准来生产。苯溴马隆有肾结石要绝对禁忌，尿酸生成过多类型相对禁忌，尿酸 700 以上比较可能是生成过多类型，做 24 小时尿尿酸可以确定。苯溴马隆主要肝代谢，只有 6%经肾，它发生肝功能异常概率要比非布司他小很多，这也是为什么服用非布司他转氨酶超过三倍换苯溴马隆就没问题的原因，但苯溴马隆发生肝损会大部分在转氨酶200 以上，所以服用苯溴马隆需要定期体检肝功，和刚开始服用两个月左右做泌尿彩超看看，因为比较容易尿酸性肾结石，苯溴马隆不良反应常见的就是肝功能异常，一过性阳痿/性欲减退，停药可以恢复。苯溴马隆在夏天多出汗降尿酸可能会下降，它降尿酸和排尿直接相关。苯溴马隆 1970 年用于临床。——笔者提醒，服用苯溴马隆两个月左右复查泌尿彩超看看会不会导致尿酸性肾结石，笔者结识风友大约大几十人其中 50%导致尿酸性肾结石，有些已经多喝水，保持 ph6.2-6.8，但不是人人都会，人人都会早退市了，苯溴马隆现在还是中国台湾一线用药，所以服用苯溴马隆注意多喝水和碱化尿液，做出来泌尿彩超没问题就稳了，然后复查泌尿彩超间隔时间可以延长。四、三大降酸药答疑
别嘌醇/非布司他/苯溴马隆应空腹服用还是餐后服？	饭前、饭中、饭后都可以，只是饭后可以减少一些风友肠胃不良反应。有高尿酸痛风的风友询问降尿酸药物应在何时服用，查阅了国家药品监督管理局最近批准的三种通过一致性评价的仿制药数据，并整理如下。尽管别嘌醇/非布司他饭前生物利用度比较好，实际上一直吃着的影响不大。至于苯溴马隆只有台湾版说明书有写饭中，饭后服用皆可，其他说明书没有要求。
为什么医生没有给我做分型就给我开非布司他？	降酸药只有三种，选择的话只有苯溴马隆不适合生成过多类型（尿酸超过 700 以上可能是，做 24 小时尿尿酸确定）有大的肾结石禁忌苯溴马隆。别嘌醇和非布司他不管什么类型都可以用，尿酸每天生成 750mmol/L，排泄 750mmol/L（肾脏排泄 2/1，肠道 1/3），尿酸池 1200mmol/L，尿酸从源头减少了，尿酸自然就降了。临床上85%是排泄障碍，10%是生成过多类型，5%混合型。
降酸药啥时候可以减量呢？	我们先看痛风患者应该保持靶标值是 360 以下，痛风石 300 以下一粒非布司他 40mg 降 200-250 微摩尔每升尿酸。吃药预留 30 左右保证 360 以下最好保持 330 以下，痛风石更低。这样推算即是保持 240 稳定才可以尝试减量，尝试减量也要检测尿酸。大部分如此但也有个体差异。需要注意的是减量会尿酸波动可能会引发痛风发作，特别是刚开始降尿酸不久的，这种情况保持稳定一两个月再减量比较好，或者搭配一粒秋水仙碱预防溶晶痛。想减量有哪些办法呢？①把非布司他分开早晚服用能额外降尿酸这时候可能可以减量②尿酸等于血液尿酸和结晶总和，随着不断的溶出尿酸盐结晶/石自然尿酸低了可以减量。个人结识的风友所有依从性高坚持尿酸达标最后都可以减量。具体多久可以减量不好说因人而异。
降酸药应该做哪些体检？	这个可以看笔者另一篇《痛风大全之体检篇》
降酸药会有耐药性和依赖性吗？听说吃上了停不了了？	都没有，会产生耐药性的是抗生素，停药反弹是痛风不能根治，只能控制，人家降酸药不背这锅，同样剂量的降酸药尿酸越来越高了这是尿酸波动，这是非常常见的，随着尿酸加减就行。从药物本身作用机理来看，成瘾性药物的判断标准包括以下两条：（1） 在服用后必须逐步增加剂量才能维持疗效的药物；（2） 在停药后会出现戒断症状，三大降酸药不符合，故三大降酸药不属于成瘾性药物。世界上所有成瘾性药物均被列入《成瘾性药物手册》，而三大降酸药未被收载；有成瘾性药物在临床上不能作为治疗用药，有成瘾性药物的药物临床必须限制使用，而三大降酸药无此项限制。
什么情况下不能吃降酸药？	三大降酸药都是肝代谢，谷丙转氨酶或谷草转氨酶超过三倍，总胆红素超过两倍暂时不吃，属于中度肝损，三大降酸药禁忌，先保肝等转氨酶不超过三倍，胆红素不超过两倍再吃，并酌情看是否搭配护肝药。
吃药“伤”肝，我可以先吃护肝药不？	如果肝功能正常，不需要的，反而加重肝脏负担。《2019 中国药物肝损指南》反对预防性用药。
吃降酸药可以备孕吗？	这方面数据太少，笔者认为非布司他和苯溴马隆男性备孕不用停药，且认识不少风友男性备孕没有停药，没问题，你可以找（谢榆医生非布司他备孕不用停药的科普），李长贵在《终结痛风》书中说需要提前三个月停药，笔者支持谢榆医生说法男性备孕三大降酸药不用停药。因有关数据太少，具体还是请遵医嘱！
秋水仙碱，非甾体抗炎药备孕可以服用吗？	具体看《2020 年 ACR 风湿及肌肉骨骼疾病患者妊娠期用药推荐》
降酸药需要终身服药吗？停药的概率有多少？	《2019 中国痛风指南》写了，大部分需要终身服用降尿酸药物维持，笔者结识两万风友事实也如此。停药概率我自己观察概率如下：无症状第一次体检刚发现 40%能降下来 420 以下只是痛过一次，大约 10%能生活干预降 420 以下痛过两次以上，生活干预降不下来，有 1.5%概率停药尿酸 380以下，他们都很自律，规律运动，有些他本身代谢也比较好，能不能停药也看运气。10. 我看到知乎博主凯喜博士做的实验非布司他，托匹司他降尿
酸之后小鼠黄嘌呤倍增，且损伤肾脏，是不是非布司他伤肾了？	嘌呤在人体内具有重要的生理功能：1、嘌呤最重要的生理功能，是构成嘌呤核苷酸，它和嘧啶核苷酸共同组成核酸分子的基本结构单位，是人体内重要的遗传物质；2、嘌呤是重要的能源物质，它是形成几种人体能量物质的主要单位，为细胞的各种生理活动提供能量；3、嘌呤是重要的信使分子，它们在调控细胞的信号转导中起关键作用；4、嘌呤还参与组成了某些辅酶，这些辅酶在人体的糖、脂肪、和蛋白质等重要物质代谢中起关键作用。而且非布司他上市之前就做了十六年临床试验，而且上市之后人类没有肾脏损害的文献报道和药监局收到案例，非布司他不伤肾，高尿酸才伤肾。嘌呤易溶于水，部分抑制后黄嘌呤会随着尿液排出。
兼降尿酸的药物有哪些？	非诺贝特，降甘油三酯同时降 15%左右尿酸，笔者观察兼降尿酸效果挺好。氯沙坦钾，高尿酸血症合并高血压首选降压药，能兼降尿酸 10-15%，笔者观察兼降尿酸效果一般。达格列净，2 型糖尿病降糖药，能兼降尿酸 10-15%，且效果挺好。阿托伐他汀，降低低密度脂蛋白胆固醇，能兼降尿酸 10-15%，这个笔者观察效果一般般，有些没降。感谢大家阅读，我是房寻仙，痛风快好的一位风友，以下资料会持续更新，所有内容，经过风友实践和大量文献资料总结而来，供参考。科普不代表治病，不代替治疗，仅供学习参考，如有身体不适请到三甲医院面诊！遵医嘱。感谢痛风快好 APP 提供那么好的科普平台！感谢为痛风治疗指南付出的所有医务人员~以及科普人！感谢痛风快好 APP 交流群内大量的风友！本篇是《痛风大全》6，降酸药篇以下文章持续更新……感谢关注，也感谢传播科普！《痛风大全》1，体检篇 -已更新《痛风大全》2，发作与溶晶痛篇-已更新《痛风大全》3，防治篇《痛风大全》4，生活干预与饮食起居篇《痛风大全》5，碱化尿液与肾结石篇-已更新《痛风大全》7，脂肪肝篇《痛风大全》8，中医中药篇《痛风大全》9，报告解读篇参考文献：《2019 中国高尿酸血症与痛风诊疗指南》《2021 痛风基层合理用药指南》《实用痛风病学》为方便查阅，《痛风大全》完整版发布于痛风快好 app、痛风快好微信小程序（痛风专栏）声明：著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。感谢阅读，我是房寻仙。
